CaracteristicaAccidenteID,TIPO_DE_CALLE,CALLE,DIRECCION_NORMALIZADA,VICTIMA
558,AUTOPISTA,"CANTILO, INT.","CANTILO, INT. y UDAONDO, GUILLERMO AV.",MOTO
559,CALLE,MORENO,MORENO 1845,BICICLETA
560,CALLE,NUEVA YORK,NUEVA YORK y ALTA GRACIA,PEATON_MOTO
561,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y GOYENECHE, ROBERTO PARQUE AV.",MOTO
562,AUTOPISTA,AUTOPISTA PERITO MORENO,AUTOPISTA PERITO MORENO (ALTURA ESTACION DE TREN VILLA LURO),MOTO
563,AVENIDA,SAENZ AV.,SAENZ AV. y BEAZLEY,PEATON
564,AVENIDA,DEL LIBERTADOR AV.,DEL LIBERTADOR AV. y AUSTRIA,MOTO
565,AVENIDA,INDEPENDENCIA AV.,"INDEPENDENCIA AV. y SAENZ PEÑA, LUIS, PRES.",MOTO
566,AVENIDA,CALLAO AV.,"CALLAO AV. y LAS HERAS, GENERAL",PEATON
567,AVENIDA,SAN PEDRITO AV.,SAN PEDRITO AV. y DIRECTORIO AV.,PEATON
568,AVENIDA,JUJUY AV.,"JUJUY AV. y CALVO, CARLOS",BICICLETA
569,AVENIDA,BOGOTA,BOGOTA y NAZCA AV.,AUTO
570,AVENIDA,CORRIENTES AV.,CORRIENTES AV. y 9 DE JULIO AV.,PEATON
571,AVENIDA,ALVAREZ JONTE AV.,ALVAREZ JONTE AV. y CHIVILCOY,AUTO
572,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. y PUNTA ARENAS,MOTO
573,CALLE,BARCO CENTENERA DEL,BARCO CENTENERA DEL 1118,BICICLETA
574,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AU FRONDIZI KM. 3,MOTO
575,AVENIDA,"CASTRO, EMILIO AV.","CASTRO, EMILIO AV. y MURGUIONDO",MOTO
576,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 25 DE MAYO KM. 3.7,MOTO
577,AVENIDA,CASEROS AV.,CASEROS AV. y GUARANI,PEATON
578,AVENIDA,"PERON, EVA AV.","PERON, EVA AV. 3800",PEATON
579,AUTOPISTA,AUTOPISTA ARTURO ILLIA,AUTOPISTA ARTURO ILLIA y SARMIENTO AV.,MOTO
580,AVENIDA,DE LOS CONSTITUYENTES AV.,DE LOS CONSTITUYENTES AV. y GIRIBONE,MOTO
581,AVENIDA,SAENZ AV.,"SAENZ AV. y RABANAL, FRANCISCO, INTENDENTE AV.",PEATON
582,AVENIDA,PAYSANDU,PAYSANDU y GAONA AV.,MOTO
583,AVENIDA,SANTA FE AV.,SANTA FE AV. 1675,PEATON
584,AUTOPISTA,"DELLEPIANE, LUIS, TTE. GRAL.","DELLEPIANE, LUIS, TTE. GRAL. y GUAMINI",PEATON
