FechaID,FECHA,AAAA,MM,DD,HORA,HH
306,2018-04-07,2018,4,7,0 days 07:30:00,7
307,2018-04-11,2018,4,11,0 days 18:15:00,18
308,2018-04-12,2018,4,12,0 days 16:45:00,16
309,2018-04-13,2018,4,13,0 days 23:15:00,23
310,2018-04-18,2018,4,18,0 days 18:45:00,18
311,2018-04-20,2018,4,20,0 days 17:10:00,17
312,2018-04-21,2018,4,21,0 days 22:15:00,22
313,2018-04-27,2018,4,27,0 days 11:00:00,11
314,2018-04-27,2018,4,27,0 days 13:30:00,13
315,2018-04-27,2018,4,27,0 days 18:43:00,18
316,2018-04-28,2018,4,28,0 days 06:30:00,6
317,2018-04-28,2018,4,28,0 days 09:00:00,9
318,2018-04-30,2018,4,30,0 days 07:00:00,7
319,2018-05-02,2018,5,2,0 days 03:15:00,3
320,2018-05-08,2018,5,8,0 days 19:00:00,19
321,2018-05-09,2018,5,9,0 days 10:30:00,10
322,2018-05-11,2018,5,11,0 days 19:15:00,19
323,2018-05-14,2018,5,14,0 days 18:45:00,18
324,2018-05-15,2018,5,15,0 days 21:15:00,21
325,2018-05-18,2018,5,18,0 days 20:30:00,20
326,2018-05-20,2018,5,20,0 days 02:30:00,2
327,2018-05-22,2018,5,22,0 days 11:15:00,11
328,2018-05-29,2018,5,29,0 days 07:30:00,7
329,2018-06-02,2018,6,2,0 days 13:00:00,13
330,2018-06-03,2018,6,3,0 days 03:30:00,3
331,2018-06-03,2018,6,3,0 days 06:30:00,6
332,2018-06-08,2018,6,8,0 days 06:20:00,6
333,2018-06-08,2018,6,8,0 days 12:50:00,12
334,2018-06-10,2018,6,10,0 days 11:15:00,11
335,2018-06-14,2018,6,14,0 days 01:00:00,1
336,2018-06-16,2018,6,16,0 days 21:15:00,21
337,2018-06-25,2018,6,25,0 days 01:15:00,1
338,2018-06-26,2018,6,26,0 days 17:30:00,17
339,2018-06-28,2018,6,28,0 days 11:00:00,11
340,2018-06-29,2018,6,29,0 days 16:15:00,16
341,2018-07-01,2018,7,1,0 days 09:00:00,9
342,2018-07-04,2018,7,4,0 days 21:45:00,21
343,2018-07-07,2018,7,7,0 days 15:45:00,15
344,2018-07-10,2018,7,10,0 days 17:50:00,17
345,2018-07-11,2018,7,11,0 days 13:15:00,13
346,2018-07-11,2018,7,11,0 days 15:45:00,15
347,2018-07-14,2018,7,14,0 days 06:04:00,6
348,2018-07-15,2018,7,15,0 days 07:30:00,7
349,2018-07-16,2018,7,16,0 days 09:30:00,9
350,2018-07-16,2018,7,16,0 days 23:15:00,23
351,2018-07-21,2018,7,21,0 days 06:15:00,6
352,2018-07-23,2018,7,23,0 days 07:15:00,7
353,2018-07-25,2018,7,25,0 days 22:22:00,22
354,2018-07-29,2018,7,29,0 days 06:30:00,6
355,2018-08-01,2018,8,1,0 days 15:53:00,15
356,2018-08-02,2018,8,2,0 days 05:20:00,5
357,2018-08-03,2018,8,3,0 days 07:25:00,7
358,2018-08-03,2018,8,3,0 days 18:16:00,18
359,2018-08-10,2018,8,10,0 days 21:44:00,21
360,2018-08-15,2018,8,15,0 days 19:20:00,19
361,2018-08-17,2018,8,17,0 days 16:36:00,16
362,2018-08-17,2018,8,17,0 days 17:56:00,17
363,2018-08-18,2018,8,18,0 days 10:34:00,10
364,2018-08-19,2018,8,19,0 days 18:47:00,18
365,2018-08-20,2018,8,20,0 days 08:20:00,8
366,2018-08-20,2018,8,20,0 days 08:41:00,8
367,2018-08-23,2018,8,23,0 days 05:35:00,5
368,2018-08-26,2018,8,26,0 days 00:59:00,0
369,2018-08-31,2018,8,31,0 days 22:20:00,22
370,2018-09-02,2018,9,2,0 days 10:50:00,10
371,2018-09-09,2018,9,9,0 days 05:00:00,5
372,2018-09-12,2018,9,12,0 days 14:25:00,14
373,2018-09-20,2018,9,20,0 days 10:30:00,10
374,2018-09-21,2018,9,21,0 days 00:15:00,0
375,2018-09-21,2018,9,21,0 days 00:30:00,0
376,2018-09-27,2018,9,27,0 days 17:51:00,17
377,2018-10-01,2018,10,1,0 days 08:58:00,8
378,2018-10-03,2018,10,3,0 days 18:12:00,18
379,2018-10-04,2018,10,4,0 days 22:02:00,22
380,2018-10-06,2018,10,6,0 days 14:20:00,14
381,2018-10-09,2018,10,9,0 days 14:00:00,14
382,2018-10-10,2018,10,10,0 days 22:12:00,22
383,2018-10-13,2018,10,13,0 days 03:05:00,3
384,2018-10-19,2018,10,19,0 days 12:13:00,12
385,2018-10-24,2018,10,24,0 days 09:18:00,9
386,2018-10-25,2018,10,25,0 days 11:00:00,11
387,2018-10-30,2018,10,30,0 days 02:15:00,2
388,2018-10-31,2018,10,31,0 days 12:30:00,12
389,2018-11-01,2018,11,1,0 days 10:50:00,10
390,2018-11-04,2018,11,4,0 days 08:15:00,8
391,2018-11-05,2018,11,5,0 days 14:49:00,14
392,2018-11-05,2018,11,5,0 days 22:35:00,22
393,2018-11-09,2018,11,9,0 days 13:34:00,13
394,2018-11-09,2018,11,9,0 days 16:32:00,16
395,2018-11-12,2018,11,12,0 days 01:00:00,1
396,2018-11-12,2018,11,12,0 days 03:32:00,3
397,2018-11-15,2018,11,15,0 days 19:40:00,19
398,2018-11-16,2018,11,16,0 days 21:12:00,21
399,2018-11-18,2018,11,18,0 days 12:11:00,12
400,2018-11-19,2018,11,19,0 days 09:14:00,9
401,2018-11-25,2018,11,25,0 days 04:30:00,4
402,2018-11-28,2018,11,28,0 days 04:01:00,4
403,2018-12-03,2018,12,3,0 days 03:00:00,3
404,2018-12-07,2018,12,7,0 days 19:10:00,19
405,2018-12-12,2018,12,12,0 days 08:26:00,8
406,2018-12-12,2018,12,12,0 days 14:07:00,14
407,2018-12-12,2018,12,12,0 days 21:00:00,21
408,2018-12-18,2018,12,18,0 days 14:40:00,14
409,2018-12-18,2018,12,18,0 days 15:42:00,15
410,2018-12-18,2018,12,18,0 days 20:15:00,20
411,2018-12-21,2018,12,21,0 days 09:30:00,9
412,2018-12-22,2018,12,22,0 days 06:30:00,6
413,2018-12-22,2018,12,22,0 days 08:05:00,8
414,2018-12-22,2018,12,22,0 days 17:40:00,17
415,2018-12-25,2018,12,25,0 days 13:30:00,13
416,2018-12-29,2018,12,29,0 days 05:25:00,5
417,2019-01-08,2019,1,8,0 days 08:30:00,8
418,2019-01-09,2019,1,9,0 days 04:00:00,4
419,2019-01-12,2019,1,12,0 days 08:00:00,8
420,2019-01-14,2019,1,14,0 days 19:58:00,19
421,2019-01-19,2019,1,19,0 days 12:00:00,12
422,2019-01-23,2019,1,23,0 days 05:45:00,5
423,2019-01-26,2019,1,26,0 days 19:34:00,19
424,2019-01-30,2019,1,30,0 days 22:45:00,22
425,2019-01-31,2019,1,31,0 days 14:55:00,14
426,2019-02-02,2019,2,2,0 days 07:50:00,7
427,2019-02-10,2019,2,10,0 days 01:00:00,1
428,2019-02-17,2019,2,17,0 days 03:16:00,3
429,2019-02-20,2019,2,20,0 days 07:30:00,7
430,2019-02-20,2019,2,20,0 days 17:30:00,17
431,2019-02-23,2019,2,23,0 days 06:57:00,6
432,2019-02-24,2019,2,24,0 days 02:00:00,2
433,2019-03-03,2019,3,3,0 days 07:00:00,7
434,2019-03-03,2019,3,3,0 days 23:30:00,23
435,2019-03-06,2019,3,6,0 days 12:00:00,12
436,2019-03-07,2019,3,7,0 days 21:01:00,21
437,2019-03-15,2019,3,15,0 days 22:50:00,22
