HechoVictimaID,ID_HECHO,FechaID,VictimaID
852,2016-0078,54,85
853,2016-0078,55,85
854,2016-0078,56,85
855,2016-0078,54,136
856,2016-0078,55,136
857,2016-0078,56,136
858,2016-0078,54,142
859,2016-0078,55,142
860,2016-0078,56,142
861,2016-0078,54,261
862,2016-0078,55,261
863,2016-0078,56,261
864,2016-0078,54,334
865,2016-0078,55,334
866,2016-0078,56,334
867,2016-0078,54,356
868,2016-0078,55,356
869,2016-0078,56,356
870,2016-0078,54,389
871,2016-0078,55,389
872,2016-0078,56,389
873,2016-0078,54,476
874,2016-0078,55,476
875,2016-0078,56,476
876,2016-0078,54,620
877,2016-0078,55,620
878,2016-0078,56,620
879,2016-0078,54,684
880,2016-0078,55,684
881,2016-0078,56,684
882,2016-0079,57,56
883,2016-0080,58,52
884,2016-0080,58,315
885,2016-0080,58,698
886,2016-0081,59,57
887,2016-0081,59,278
888,2016-0081,59,433
889,2016-0081,59,550
890,2016-0081,59,555
891,2016-0082,60,58
892,2016-0082,60,149
893,2016-0082,60,211
894,2016-0083,61,59
895,2016-0083,61,227
896,2016-0084,62,60
897,2016-0084,62,80
898,2016-0084,62,318
899,2016-0084,62,579
900,2016-0085,62,61
901,2016-0086,63,62
902,2016-0086,63,358
903,2016-0086,63,414
904,2016-0086,63,642
905,2016-0086,63,688
906,2016-0087,695,51
907,2016-0087,695,63
908,2016-0087,695,117
909,2016-0087,695,134
910,2016-0087,695,145
911,2016-0087,695,241
912,2016-0087,695,242
913,2016-0087,695,363
914,2016-0087,695,386
915,2016-0087,695,419
916,2016-0087,695,438
917,2016-0087,695,526
918,2016-0088,65,64
919,2016-0088,65,409
920,2016-0089,66,65
921,2016-0089,67,65
922,2016-0089,66,97
923,2016-0089,67,97
924,2016-0089,66,286
925,2016-0089,67,286
926,2016-0089,66,351
927,2016-0089,67,351
928,2016-0089,66,508
929,2016-0089,67,508
930,2016-0089,66,65
931,2016-0089,67,65
932,2016-0089,66,97
933,2016-0089,67,97
934,2016-0089,66,286
935,2016-0089,67,286
936,2016-0089,66,351
937,2016-0089,67,351
938,2016-0089,66,508
939,2016-0089,67,508
940,2016-0090,66,66
941,2016-0090,67,66
942,2016-0090,66,382
943,2016-0090,67,382
944,2016-0090,66,633
945,2016-0090,67,633
946,2016-0090,66,66
947,2016-0090,67,66
948,2016-0090,66,382
949,2016-0090,67,382
950,2016-0090,66,633
951,2016-0090,67,633
952,2016-0092,68,33
953,2016-0092,68,67
954,2016-0092,68,82
955,2016-0092,68,123
956,2016-0092,68,244
957,2016-0092,68,249
958,2016-0092,68,294
959,2016-0092,68,299
960,2016-0092,68,519
961,2016-0092,68,586
962,2016-0092,68,624
963,2016-0092,68,636
964,2016-0092,68,693
965,2016-0093,69,68
966,2016-0093,69,107
967,2016-0093,69,180
968,2016-0093,69,335
969,2016-0093,69,423
970,2016-0093,69,484
971,2016-0093,69,491
972,2016-0095,70,5
973,2016-0095,70,69
974,2016-0095,70,75
975,2016-0095,70,96
976,2016-0095,70,118
977,2016-0095,70,132
978,2016-0095,70,235
979,2016-0095,70,399
980,2016-0095,70,404
981,2016-0095,70,490
982,2016-0095,70,503
983,2016-0095,70,535
984,2016-0095,70,551
985,2016-0096,71,34
986,2016-0096,71,165
987,2016-0096,71,341
988,2016-0096,71,353
989,2016-0096,71,359
990,2016-0096,71,373
991,2016-0096,71,403
992,2016-0096,71,436
993,2016-0096,71,451
994,2016-0096,71,512
995,2016-0096,71,530
996,2016-0096,71,534
997,2016-0096,71,561
998,2016-0097,72,70
999,2016-0097,72,176
1000,2016-0097,72,188
1001,2016-0097,72,360
1002,2016-0097,72,408
1003,2016-0097,72,549
1004,2016-0098,73,71
1005,2016-0099,74,72
1006,2016-0099,74,582
1007,2016-0099,74,690
1008,2016-0100,75,73
1009,2016-0100,75,240
1010,2016-0100,75,496
1011,2016-0101,76,74
1012,2016-0102,77,5
1013,2016-0102,77,69
1014,2016-0102,77,75
1015,2016-0102,77,96
1016,2016-0102,77,118
1017,2016-0102,77,132
1018,2016-0102,77,235
1019,2016-0102,77,399
1020,2016-0102,77,404
1021,2016-0102,77,490
1022,2016-0102,77,503
1023,2016-0102,77,535
1024,2016-0102,77,551
1025,2016-0104,78,23
1026,2016-0104,78,76
1027,2016-0104,78,166
1028,2016-0104,78,185
1029,2016-0104,78,222
1030,2016-0104,78,325
1031,2016-0104,78,338
1032,2016-0104,78,432
1033,2016-0104,78,468
1034,2016-0104,78,471
1035,2016-0104,78,552
1036,2016-0105,79,77
1037,2016-0106,80,22
1038,2016-0106,80,40
1039,2016-0106,80,78
1040,2016-0106,80,120
1041,2016-0106,80,557
1042,2016-0106,80,584
1043,2016-0107,81,23
1044,2016-0107,81,76
1045,2016-0107,81,166
1046,2016-0107,81,185
1047,2016-0107,81,222
1048,2016-0107,81,325
1049,2016-0107,81,338
1050,2016-0107,81,432
1051,2016-0107,81,468
1052,2016-0107,81,471
1053,2016-0107,81,552
1054,2016-0109,82,79
1055,2016-0109,83,79
1056,2016-0109,82,79
1057,2016-0109,83,79
1058,2016-0110,82,60
1059,2016-0110,83,60
1060,2016-0110,82,80
1061,2016-0110,83,80
1062,2016-0110,82,318
1063,2016-0110,83,318
1064,2016-0110,82,579
1065,2016-0110,83,579
1066,2016-0110,82,60
1067,2016-0110,83,60
1068,2016-0110,82,80
1069,2016-0110,83,80
1070,2016-0110,82,318
1071,2016-0110,83,318
1072,2016-0110,82,579
1073,2016-0110,83,579
1074,2016-0111,84,81
1075,2016-0111,84,87
1076,2016-0111,84,140
1077,2016-0111,84,266
1078,2016-0111,84,342
1079,2016-0111,84,361
1080,2016-0111,84,378
1081,2016-0111,84,398
1082,2016-0111,84,446
1083,2016-0111,84,587
1084,2016-0111,84,604
1085,2016-0111,84,641
1086,2016-0111,84,668
1087,2016-0111,84,697
1088,2016-0112,85,33
1089,2016-0112,86,33
1090,2016-0112,85,67
1091,2016-0112,86,67
1092,2016-0112,85,82
1093,2016-0112,86,82
1094,2016-0112,85,123
1095,2016-0112,86,123
1096,2016-0112,85,244
1097,2016-0112,86,244
1098,2016-0112,85,249
1099,2016-0112,86,249
1100,2016-0112,85,294
1101,2016-0112,86,294
1102,2016-0112,85,299
1103,2016-0112,86,299
1104,2016-0112,85,519
1105,2016-0112,86,519
1106,2016-0112,85,586
1107,2016-0112,86,586
1108,2016-0112,85,624
1109,2016-0112,86,624
1110,2016-0112,85,636
1111,2016-0112,86,636
1112,2016-0112,85,693
1113,2016-0112,86,693
1114,2016-0112,85,33
1115,2016-0112,86,33
1116,2016-0112,85,67
1117,2016-0112,86,67
1118,2016-0112,85,82
1119,2016-0112,86,82
1120,2016-0112,85,123
1121,2016-0112,86,123
1122,2016-0112,85,244
1123,2016-0112,86,244
1124,2016-0112,85,249
1125,2016-0112,86,249
1126,2016-0112,85,294
1127,2016-0112,86,294
1128,2016-0112,85,299
1129,2016-0112,86,299
1130,2016-0112,85,519
1131,2016-0112,86,519
1132,2016-0112,85,586
1133,2016-0112,86,586
1134,2016-0112,85,624
1135,2016-0112,86,624
1136,2016-0112,85,636
1137,2016-0112,86,636
1138,2016-0112,85,693
1139,2016-0112,86,693
1140,2016-0113,85,83
1141,2016-0113,86,83
1142,2016-0113,85,239
1143,2016-0113,86,239
1144,2016-0113,85,246
1145,2016-0113,86,246
